meanings,jlpt_level,stroke_count,radicals,reading_kun,reading_on
"['plan', 'suggestion', 'draft', 'ponder', 'fear', 'proposition', 'idea', 'expectation', 'worry', 'table', 'bench', 'plan', 'suggestion', 'projet (loi)', 'réflexion', 'peur', 'proposition', 'idée', 'attente', 'plan', 'idea', 'sugerencia', 'borrador', 'plano', 'sugestão', 'esboço', 'ponderar', 'medo', 'proposição', 'idéia', 'expectativa', 'conta', 'preocupar']",,10,75,['つくえ'],['アン']
"['get dark', 'gloom', 'disorder', 'oscuro', 'sombrío', 'poco claro', 'sin esperanza', 'confuso']",,17,169,"['やみ', 'くら.い']","['アン', 'オン']"
"['saddle', 'silla de montar']",,15,177,['くら'],['アン']
"['apricot', 'abricot', 'albaricoque']",,7,75,['あんず'],"['キョウ', 'アン', 'コウ']"
"['by means of', 'because', 'in view of', 'compared with', 'au moyen de', 'parce que', 'en vue de', 'comparé à', 'además de', 'más que', 'Por meios de', 'porque', 'em visão de', 'comparada com']",,5,9,['もっ.て'],['イ']
"['Italy', 'that one', 'Italie', 'celui-là', 'I fonética', 'Italia', 'ese', 'aquel']",,6,9,['かれ'],['イ']
"['rank', 'grade', 'throne', 'crown', 'about', 'some', 'rang', 'position', 'grade', 'trône', 'couronne', 'à peu près', 'grado', 'posición', 'aproximadamente', 'trono', 'posição', 'grau', 'trono', 'coroa', 'sobre', 'alguma']",,7,9,"['くらい', 'ぐらい']",['イ']
"['reliant', 'depend on', 'consequently', 'therefore', 'due to', 'dépendant', 'par conséquent', 'donc', 'dû à', 'confiar en', 'depender de', 'estar basado en', 'confiante', 'contar com', 'consequentemente', 'portanto', 'devido para']",,8,9,['よ.る'],"['イ', 'エ']"
"['admirable', 'greatness', 'remarkable', 'conceited', 'famous', 'excellent', 'admirable', 'grandeur', 'remarquable', 'vaniteux', 'célèbre', 'excellent', 'admirable', 'notable', 'excelente', 'admirável', 'grandeza', 'notável', 'conceituado', 'excelente', 'famoso']",,12,9,['えら.い'],['イ']
"['surround', 'besiege', 'store', 'paling', 'enclosure', 'encircle', 'preserve', 'keep', 'entourer', 'assiéger', 'enceinte', 'palissade', 'encercler', 'réserve', 'garder', 'circunferencia', 'rodear', 'cercar', 'circundar', 'sitiar', 'loja', 'paliçada', 'cerca', 'preservar', 'guardar']",,7,31,"['かこ.む', 'かこ.う', 'かこ.い']",['イ']
"['barbarian', 'savage', 'Ainu', 'bárbaro', 'salvaje']",,6,37,"['えびす', 'えみし', 'ころ.す', 'たい.らげる']",['イ']
"['committee', 'entrust to', 'leave to', 'devote', 'discard', 'comité', 'confier à', 'laisser à', 'se consacrer', 'abandonner', 'confiar', 'confianza', 'detallado', 'comitê', 'confiar a', 'deixar para', 'dedicar', 'descartar']",,8,38,['ゆだ.ねる'],['イ']
"['intimidate', 'dignity', 'majesty', 'menace', 'threaten', 'intimidant', 'dignité', 'majesté', 'menacer', 'dignidad', 'majestad', 'amenazar', 'intimidar', 'fuerza', 'intimidar', 'dignidade', 'majestade', 'ameaça', 'ameaçar']",,9,38,"['おど.す', 'おど.し', 'おど.かす']",['イ']
"['military officer', 'jailer', 'old man', 'rank', 'officier', 'geôlier', 'vieil homme', 'rang', 'oficial militar', 'carcelero', 'rango', 'viejo', 'oficial militar', 'carcereiro', 'velho', 'posição']",,11,41,[],"['イ', 'ジョウ']"
"['consider', 'reflect', 'think', 'este', 'simplemente', 'solamente', 'considerar', 'meditar', 'pensar', 'reflexionar']",,11,61,"['おも.んみる', 'これ', 'おも.うに']","['イ', 'ユイ']"
"['idea', 'mind', 'heart', 'taste', 'thought', 'desire', 'care', 'liking', 'idée', 'esprit', 'coeur', 'pensée', 'attention', 'goût', 'désir', 'idea', 'sentimiento', 'razón', 'intención', 'idéia', 'mente', 'coração', 'gosto', 'pensamento', 'desejo', 'atenção']",,13,61,[],['イ']
"['consolation', 'amusement', 'seduce', 'cheer', 'make sport of', 'comfort', 'console', 'réconforter', 'divertissement', 'séduire', 'consoler', 'remonter', ""s'amuser de"", 'consolar', 'confortar', 'aliviar', 'alegrar', 'consolo', 'divertimento', 'sedução', 'torce', 'levar na esportiva', 'conforto', 'consolar']",,15,61,"['なぐさ.める', 'なぐさ.む']",['イ']
"['easy', 'ready to', 'simple', 'fortune-telling', 'divination', 'facile', 'prêt-à-...', 'simple', 'voyance', 'divination', 'commerce', 'fácil', 'simple', 'cambio', 'intercambio', 'adivinación', 'sencillo', 'Fácil', 'ler a sorte', 'pronto para', 'simples', 'advinhação']",,8,72,"['やさ.しい', 'やす.い']","['エキ', 'イ']"
"['chair', 'silla', 'asiento']",,12,75,[],['イ']
